root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
NPORT-P,,2024-04-01,2024-01-31,VANGUARD MUNICIPAL BOND FUNDS,,0000225997,225997,"Valley Forge, Pennsylvania",Delaware,811-02687,24807356,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-02687&action=getcompany,https://www.sec.gov/Archives/edgar/data/225997/000175272424076015/0001752724-24-076015-index.html,https://www.sec.gov/Archives/edgar/data/225997/000175272424076015/vg_highyieldtaxexempt.htm
DRS,Draft registration statement,2024-03-05,,"Grupo Aeromexico, S.A.B. de C.V.",,0001561861,1561861,"Mexico, D.f., Mexico",Mexico,377-06751,24718077,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=377-06751&action=getcompany,https://www.sec.gov/Archives/edgar/data/1561861/000095012324002775/0000950123-24-002775-index.html,https://www.sec.gov/Archives/edgar/data/1561861/000095012324002775/filename2.htm
DRS,Draft registration statement,2024-03-05,,"Grupo Aeromexico, S.A.B. de C.V.",,0001561861,1561861,"Mexico, D.f., Mexico",Mexico,377-06751,24718077,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=377-06751&action=getcompany,https://www.sec.gov/Archives/edgar/data/1561861/000095012324002775/0000950123-24-002775-index.html,https://www.sec.gov/Archives/edgar/data/1561861/000095012324002775/filename3.htm
NPORT-P,,2024-03-28,2024-01-31,"T. Rowe Price Summit Municipal Funds, Inc.",,0000912029,912029,"Baltimore, Maryland",Maryland,811-07095,24796707,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-07095&action=getcompany,https://www.sec.gov/Archives/edgar/data/912029/000091202924000019/0000912029-24-000019-index.html,https://www.sec.gov/Archives/edgar/data/912029/000091202924000019/70B8TRP013124.htm
NPORT-P,,2024-03-22,2024-01-31,Nuveen Dynamic Municipal Opportunities Fund,NDMO,0001793129,1793129,"Chicago, Illinois",Massachusetts,811-23489,24774471,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-23489&action=getcompany,https://www.sec.gov/Archives/edgar/data/1793129/000175272424063445/0001752724-24-063445-index.html,https://www.sec.gov/Archives/edgar/data/1793129/000175272424063445/primary_doc.xml
NPORT-P,,2024-02-28,2023-12-31,NUVEEN INVESTMENT FUNDS INC,,0000820892,820892,"Chicago, Illinois",Maryland,811-05309,24689697,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-05309&action=getcompany,https://www.sec.gov/Archives/edgar/data/820892/000175272424043658/0001752724-24-043658-index.html,https://www.sec.gov/Archives/edgar/data/820892/000175272424043658/primary_doc.xml
NPORT-P,,2024-01-26,2023-11-30,"T. Rowe Price Tax-Free Short-Intermediate Fund, Inc.",,0000730200,7302,"Baltimore, Maryland",Maryland,811-03872,24564459,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-03872&action=getcompany,https://www.sec.gov/Archives/edgar/data/7302/000073020024000005/0000730200-24-000005-index.html,https://www.sec.gov/Archives/edgar/data/7302/000073020024000005/primary_doc.xml
NPORT-P,,2024-03-28,2024-01-31,"T. Rowe Price Summit Municipal Funds, Inc.",,0000912029,912029,"Baltimore, Maryland",Maryland,811-07095,24796707,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-07095&action=getcompany,https://www.sec.gov/Archives/edgar/data/912029/000091202924000019/0000912029-24-000019-index.html,https://www.sec.gov/Archives/edgar/data/912029/000091202924000019/primary_doc.xml
NPORT-P,,2024-01-25,2023-11-30,NUVEEN MULTISTATE TRUST II /MA/,,0001018975,1018975,"Chicago, Illinois",Massachusetts,811-07755,24560579,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-07755&action=getcompany,https://www.sec.gov/Archives/edgar/data/1018975/000175272424013475/0001752724-24-013475-index.html,https://www.sec.gov/Archives/edgar/data/1018975/000175272424013475/primary_doc.xml
NPORT-P,,2024-01-25,2023-11-30,NUVEEN MULTISTATE TRUST IV,,0001018973,1018973,"Chicago, Illinois",Massachusetts,811-07751,24560699,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-07751&action=getcompany,https://www.sec.gov/Archives/edgar/data/1018973/000175272424013527/0001752724-24-013527-index.html,https://www.sec.gov/Archives/edgar/data/1018973/000175272424013527/primary_doc.xml
